fold,seed,policy,tau_overlap,tau_dual,tau_rgb_uncertain,margin,AP50,smoke_AP50,fire_AP50,person_AP50,delta_AP50_vs_rgb,dual_acceptance_ratio,n_rgb_boxes,n_dual_boxes,n_output_boxes
fold2,42,GateB,0.7,0.3,0.7,0.05,0.14931931834401513,0.29863500729283265,3.6293951975842746e-06,0,-0.10287379985039324,0.018307561983993526,39807,79093,41255
fold2,42,GateB,0.7,0.3,0.7,0.1,0.14931931834401513,0.29863500729283265,3.6293951975842746e-06,0,-0.10287379985039324,0.01823170192052394,39807,79093,41249
fold2,42,GateB,0.7,0.3,0.7,0.2,0.14915385819266394,0.2983040869901303,3.6293951975842746e-06,0,-0.10303926000174443,0.018054695105761572,39807,79093,41235
fold2,42,GateC,0.5,0.05,0.3,0.05,0.26019694675946575,0.5203929963921594,8.97126772087037e-07,0,0.00800382856505738,0.30866195491383563,39807,79093,64220
fold2,42,GateC,0.5,0.05,0.3,0.1,0.26019695969463935,0.5203929963921594,9.229971193259906e-07,0,0.00800384150023098,0.29106242018889156,39807,79093,62828
fold2,42,GateC,0.5,0.05,0.3,0.2,0.2601969738088751,0.5203929963921594,9.512255907586532e-07,0,0.008003855614466704,0.2724261312631965,39807,79093,61354
fold2,42,GateC,0.5,0.05,0.5,0.05,0.2601969467459181,0.5203929963921594,8.970996767450832e-07,0,0.008003828551509717,0.3086872416016588,39807,79093,64222
fold2,42,GateC,0.5,0.05,0.5,0.1,0.26019695969463935,0.5203929963921594,9.229971193259906e-07,0,0.00800384150023098,0.29106242018889156,39807,79093,62828
fold2,42,GateC,0.5,0.05,0.5,0.2,0.2601969738088751,0.5203929963921594,9.512255907586532e-07,0,0.008003855614466704,0.2724261312631965,39807,79093,61354
fold2,42,GateC,0.5,0.05,0.7,0.05,0.2601969467459181,0.5203929963921594,8.970996767450832e-07,0,0.008003828551509717,0.3086872416016588,39807,79093,64222
fold2,42,GateC,0.5,0.05,0.7,0.1,0.26019695969463935,0.5203929963921594,9.229971193259906e-07,0,0.00800384150023098,0.29106242018889156,39807,79093,62828
fold2,42,GateC,0.5,0.05,0.7,0.2,0.2601969738088751,0.5203929963921594,9.512255907586532e-07,0,0.008003855614466704,0.2724261312631965,39807,79093,61354
fold2,42,GateC,0.5,0.1,0.3,0.05,0.2520671149608113,0.5041328532544787,1.3766671439112766e-06,0,-0.00012600323359707177,0.152187930663902,39807,79093,51844
fold2,42,GateC,0.5,0.1,0.3,0.1,0.25206711649555724,0.5041328532544787,1.379736635870945e-06,0,-0.00012600169885113033,0.1487236544321242,39807,79093,51570
fold2,42,GateC,0.5,0.1,0.3,0.2,0.2520671409156747,0.5041328532544787,1.4285768707690315e-06,0,-0.00012597727873364661,0.13285625782306903,39807,79093,50315
