source,method,fold,seed,tau_overlap,tau_dual,AP50,smoke_AP50,fire_AP50,person_AP50,delta_AP50_vs_rgb,acceptance_ratio,notes
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21836956205735872,0.0,0.6551086861720762,0.0,0.14645944402135963,0.3656716417910448,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.20463426931226913,0.0,0.6139028079368074,0.0,0.13272415127627007,0.33246809431105345,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.2123903967376143,0.0,0.637171190212843,0.0,0.14048027870161522,0.3479342418343067,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21648326112181346,0.0,0.6494497833654403,0.0,0.14457314308581437,0.35582954791261084,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21719667257275999,0.0,0.65159001771828,0.0,0.14528655453676093,0.3563703223015358,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.2037796225990498,0.0,0.6113388677971494,0.0,0.13186950456305074,0.3257624918883842,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21129074425875582,0.0,0.6338722327762675,0.0,0.13938062622275676,0.3409041747782825,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21532747619607126,0.0,0.6459824285882138,0.0,0.14341735816007217,0.34869132597880165,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21565338765012074,0.0,0.6469601629503622,0.0,0.14374326961412165,0.34923210036772656,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.20522390877643373,0.0,0.6156717263293012,0.0,0.13331379074043465,0.3309539260220636,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21261895851322457,0.0,0.6378568755396737,0.0,0.14070884047722548,0.345338524767467,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.05,0.21725022732091492,0.0,0.6517506819627448,0.0,0.14534010928491586,0.3530175210902012,R-Fuse rule v1
